C001,19900101,0,20100401,1234567,東京都渋谷区123マンションA101号室,abcdefgh@ijklmn.mm,09012345678
C002,19920515,1,20120901,2345678,大阪府大阪市中央区456アパートB,pqrstuvw@xyzabc.mm,08098765432
C004,19950720,1,20150301,4567890,北海道札幌市中央区101112,rstuvwxy@abcdef.mm,01123456789
C005,19880310,0,20090601,5678901,福岡県福岡市中央区131415マンションE303号室,ghijklmn@opqrst.mm,09234567890
C006,19911125,1,20111101,6789012,広島県広島市中区161718アパートF,tuvwxyz1@234567.mm,08256789012
C009,19890930,0,20091001,9012345,兵庫県神戸市中央区252627マンションI505号室,klmnopqr@stuvwx.mm,0789012345
C010,19940214,1,20140801,0123456,奈良県奈良市282930アパートJ,bcdefghi@jklmno.mm,07423456789
C012,19921010,1,20121101,2345678,大阪府大阪市北区343536,pqrstuvw@xyzabc.mm,06678901234
C013,19850120,0,20080201,3456789,愛知県名古屋市東区373839マンションM707号室,rstuvwxy@abcdef.mm,0523456789
C014,19951205,1,20150401,4567890,北海道札幌市北区404142アパートN,tuvwxyz1@234567.mm,01145678901
C015,19880415,0,20090701,5678901,福岡県福岡市博多区434445マンションO808号室,uvwxyz12@345678.mm,0925678901
C016,19911230,1,20111201,6789012,広島県広島市南区464748,wxyzabcd@efghij.mm,08234567890
C020,19940330,1,20140901,0123456,奈良県奈良市東区585960,ghijklmn@opqrst.mm,07456789012
C001,19900101,0,20100401,1234567,東京都渋谷区1-2-3 マンションA 101号室,abcdefgh@ijklmn.mm,09012345678
C002,19920515,1,20120901,2345678,大阪府大阪市中央区4-5-6 アパートB,pqrstuvw@xyzabc.mm,08098765432
C004,19950720,1,20150301,4567890,北海道札幌市中央区10-11-12,rstuvwxy@abcdef.mm,01123456789
C005,19880310,0,20090601,5678901,福岡県福岡市中央区13-14-15 マンションE 303号室,ghijklmn@opqrst.mm,09234567890
C006,19911125,1,20111101,6789012,広島県広島市中区16-17-18 アパートF,tuvwxyz1@234567.mm,08256789012
C009,19890930,0,20091001,9012345,兵庫県神戸市中央区25-26-27 マンションI 505号室,klmnopqr@stuvwx.mm,0789012345
C010,19940214,1,20140801,0123456,奈良県奈良市28-29-30 アパートJ,bcdefghi@jklmno.mm,07423456789
C012,19921010,1,20121101,2345678,大阪府大阪市北区34-35-36,pqrstuvw@xyzabc.mm,06678901234
C013,19850120,0,20080201,3456789,愛知県名古屋市東区37-38-39 マンションM 707号室,rstuvwxy@abcdef.mm,0523456789
C014,19951205,1,20150401,4567890,北海道札幌市北区40-41-42 アパートN,tuvwxyz1@234567.mm,01145678901
C015,19880415,0,20090701,5678901,福岡県福岡市博多区43-44-45 マンションO 808号室,uvwxyz12@345678.mm,0925678901
C016,19911230,1,20111201,6789012,広島県広島市南区46-47-48,wxyzabcd@efghij.mm,08234567890
C020,19940330,1,20140901,0123456,奈良県奈良市東区58-59-60,ghijklmn@opqrst.mm,07456789012
C001,19900101,0,20100401,1234567,東京都渋谷区1-2-3 マンションA 101号室,abcdefgh@ijklmn.mm,09012345678
C002,19920515,1,20120901,2345678,大阪府大阪市中央区4-5-6 アパートB,pqrstuvw@xyzabc.mm,08098765432
C004,19950720,1,20150301,4567890,北海道札幌市中央区10-11-12,rstuvwxy@abcdef.mm,01123456789
C005,19880310,0,20090601,5678901,福岡県福岡市中央区13-14-15 マンションE 303号室,ghijklmn@opqrst.mm,09234567890
C006,19911125,1,20111101,6789012,広島県広島市中区16-17-18 アパートF,tuvwxyz1@234567.mm,08256789012
C009,19890930,0,20091001,9012345,兵庫県神戸市中央区25-26-27 マンションI 505号室,klmnopqr@stuvwx.mm,0789012345
C010,19940214,1,20140801,0123456,奈良県奈良市28-29-30 アパートJ,bcdefghi@jklmno.mm,07423456789
C012,19921010,1,20121101,2345678,大阪府大阪市北区34-35-36,pqrstuvw@xyzabc.mm,06678901234
C013,19850120,0,20080201,3456789,愛知県名古屋市東区37-38-39 マンションM 707号室,rstuvwxy@abcdef.mm,0523456789
C014,19951205,1,20150401,4567890,北海道札幌市北区40-41-42 アパートN,tuvwxyz1@234567.mm,01145678901
C015,19880415,0,20090701,5678901,福岡県福岡市博多区43-44-45 マンションO 808号室,uvwxyz12@345678.mm,0925678901
C016,19911230,1,20111201,6789012,広島県広島市南区46-47-48,wxyzabcd@efghij.mm,08234567890
C020,19940330,1,20140901,0123456,奈良県奈良市東区58-59-60,ghijklmn@opqrst.mm,07456789012
