T003,19851230,0,20080115,3456789,愛知県名古屋市中区789マンションC202号室,defghijk@lmnopq.mm,0345678901
T007,19870805,0,20070201,7890123,宮城県仙台市青葉区192021マンションG404号室,ijklmnop@qrstuv.mm,0221234567
T008,19930418,1,20130501,8901234,京都府京都市中京区222324,wxyzabcd@efghij.mm,07567890123
T011,19900625,0,20101201,1234567,東京都新宿区313233マンションK606号室,nopqrstu@vwxyza.mm,0398765432
T017,19870910,0,20070301,7890123,宮城県仙台市宮城野区495051マンションQ909号室,xyzabcde@fghijk.mm,0226789012
T018,19930525,1,20130601,8901234,京都府京都市下京区525354アパートR,bcdefghi@jklmno.mm,07512345678
T019,19891005,0,20091101,9012345,兵庫県神戸市灘区555657マンションS1010号室,defghijk@lmnopq.mm,0782345678
T003,19851230,0,20080115,3456789,愛知県名古屋市中区7-8-9 マンションC 202号室,defghijk@lmnopq.mm,0345678901
T007,19870805,0,20070201,7890123,宮城県仙台市青葉区19-20-21 マンションG 404号室,ijklmnop@qrstuv.mm,0221234567
T008,19930418,1,20130501,8901234,京都府京都市中京区22-23-24,wxyzabcd@efghij.mm,07567890123
T011,19900625,0,20101201,1234567,東京都新宿区31-32-33 マンションK 606号室,nopqrstu@vwxyza.mm,0398765432
T017,19870910,0,20070301,7890123,宮城県仙台市宮城野区49-50-51 マンションQ -------------////////////909号室,xyzabcde@fghijk.mm,0226789012
T018,19930525,1,20130601,8901234,京都府京都市下京区52-53-54 アパートR,bcdefghi@jklmno.mm,07512345678
T019,19891005,0,20091101,9012345,兵庫県神戸市灘区55-56-57 マンションS 1010号室,defghijk@lmnopq.mm,0782345678
T003,19851230,0,20080115,3456789,愛知県名古屋市中区7-8-9 マンションC 202号室,defghijk@lmnopq.mm,0345678901
T007,19870805,0,20070201,7890123,宮城県仙台市青葉区19-20-21 マンションG 404号室,ijklmnop@qrstuv.mm,0221234567
T008,19930418,1,20130501,8901234,京都府京都市中京区22-23-24,wxyzabcd@efghij.mm,07567890123
T011,19900625,0,20101201,1234567,東京都新宿区31-32-33 マンションK 606号室,nopqrstu@vwxyza.mm,0398765432
T017,19870910,0,20070301,7890123,宮城県仙台市宮城野区49-50-51 マンションQ -------------////////////909号室,xyzabcde@fghijk.mm,0226789012
T018,19930525,1,20130601,8901234,京都府京都市下京区52-53-54 アパートR,bcdefghi@jklmno.mm,07512345678
T019,19891005,0,20091101,9012345,兵庫県神戸市灘区55-56-57 マンションS 1010号室,defghijk@lmnopq.mm,0782345678
